ID,electricity_consumption
cluster_1_2022-01-01,337.7704200000002
cluster_2_2022-01-01,541.75163
cluster_3_2022-01-01,716.5546100000004
cluster_4_2022-01-01,1079.6193999999998
cluster_1_2022-01-02,327.61806
cluster_2_2022-01-02,528.9855199999998
cluster_3_2022-01-02,736.0767400000001
cluster_4_2022-01-02,1091.83456
cluster_1_2022-01-03,402.25460000000004
cluster_2_2022-01-03,584.2310000000002
cluster_3_2022-01-03,795.5923200000002
cluster_4_2022-01-03,1205.8911299999997
cluster_1_2022-01-04,440.96770999999995
cluster_2_2022-01-04,615.7308199999998
cluster_3_2022-01-04,798.8857300000001
cluster_4_2022-01-04,1214.3260099999993
cluster_1_2022-01-05,474.7133400000001
cluster_2_2022-01-05,682.3998100000001
cluster_3_2022-01-05,896.8146099999996
cluster_4_2022-01-05,1320.4651899999994
cluster_1_2022-01-06,486.8722999999998
cluster_2_2022-01-06,742.1756200000001
cluster_3_2022-01-06,975.5118200000004
cluster_4_2022-01-06,1399.0947399999995
cluster_1_2022-01-07,464.3083500000001
cluster_2_2022-01-07,748.2348399999998
cluster_3_2022-01-07,961.3321600000004
cluster_4_2022-01-07,1383.10764
cluster_1_2022-01-08,414.41373000000044
cluster_2_2022-01-08,612.3865599999999
cluster_3_2022-01-08,851.6582899999999
cluster_4_2022-01-08,1221.2111599999998
cluster_1_2022-01-09,404.52147000000014
cluster_2_2022-01-09,602.2375800000005
cluster_3_2022-01-09,849.9807999999998
cluster_4_2022-01-09,1191.8918399999993
cluster_1_2022-01-10,480.64892999999967
cluster_2_2022-01-10,650.8955600000007
cluster_3_2022-01-10,927.9087399999999
cluster_4_2022-01-10,1376.7092500000006
cluster_1_2022-01-11,487.10246999999964
cluster_2_2022-01-11,711.5757000000007
cluster_3_2022-01-11,973.5894900000004
cluster_4_2022-01-11,1424.5866899999999
cluster_1_2022-01-12,481.39994
cluster_2_2022-01-12,747.02469
cluster_3_2022-01-12,966.11476
cluster_4_2022-01-12,1427.8320499999995
cluster_1_2022-01-13,477.83477999999974
cluster_2_2022-01-13,785.8968899999995
cluster_3_2022-01-13,950.8532300000003
cluster_4_2022-01-13,1445.9306999999985
cluster_1_2022-01-14,472.68307999999985
cluster_2_2022-01-14,752.4029599999998
cluster_3_2022-01-14,949.3173500000003
cluster_4_2022-01-14,1423.1602999999993
cluster_1_2022-01-15,487.93709999999993
cluster_2_2022-01-15,720.9727800000001
cluster_3_2022-01-15,904.104080000001
cluster_4_2022-01-15,1349.3248899999996
cluster_1_2022-01-16,413.8020299999998
cluster_2_2022-01-16,709.2529000000001
cluster_3_2022-01-16,928.98484
cluster_4_2022-01-16,1337.52639
cluster_1_2022-01-17,467.55471
cluster_2_2022-01-17,754.9049399999997
cluster_3_2022-01-17,926.2800399999999
cluster_4_2022-01-17,1396.5762600000005
cluster_1_2022-01-18,474.79491999999976
cluster_2_2022-01-18,740.9105199999998
cluster_3_2022-01-18,927.2691200000003
cluster_4_2022-01-18,1372.0781200000004
cluster_1_2022-01-19,475.8139899999999
cluster_2_2022-01-19,667.5504900000005
cluster_3_2022-01-19,952.9169099999992
cluster_4_2022-01-19,1396.5877099999989
cluster_1_2022-01-20,473.81150999999977
cluster_2_2022-01-20,694.5557999999997
cluster_3_2022-01-20,945.9139600000001
cluster_4_2022-01-20,1377.0451999999998
cluster_1_2022-01-21,477.34571999999986
cluster_2_2022-01-21,719.46869
cluster_3_2022-01-21,972.5086400000004
cluster_4_2022-01-21,1440.6301799999999
cluster_1_2022-01-22,415.64958
cluster_2_2022-01-22,721.5068599999998
cluster_3_2022-01-22,841.4379800000005
cluster_4_2022-01-22,1256.3515700000012
cluster_1_2022-01-23,405.33023000000003
cluster_2_2022-01-23,640.7203000000004
cluster_3_2022-01-23,812.48618
cluster_4_2022-01-23,1248.099620000001
cluster_1_2022-01-24,476.6610299999998
cluster_2_2022-01-24,692.54775
cluster_3_2022-01-24,949.6226300000003
cluster_4_2022-01-24,1405.7092800000005
cluster_1_2022-01-25,514.1261200000001
cluster_2_2022-01-25,715.1698999999996
cluster_3_2022-01-25,941.1527400000004
cluster_4_2022-01-25,1429.2972899999993
cluster_1_2022-01-26,477.728
cluster_2_2022-01-26,748.3869899999996
cluster_3_2022-01-26,996.6585399999999
cluster_4_2022-01-26,1458.8720699999997
cluster_1_2022-01-27,466.19649999999984
cluster_2_2022-01-27,704.3529400000001
cluster_3_2022-01-27,950.9391100000005
cluster_4_2022-01-27,1414.340009999999
cluster_1_2022-01-28,445.7512100000003
cluster_2_2022-01-28,707.3504200000002
cluster_3_2022-01-28,946.2479300000002
cluster_4_2022-01-28,1440.30558
cluster_1_2022-01-29,387.57347999999985
cluster_2_2022-01-29,635.5989500000003
cluster_3_2022-01-29,848.7041599999997
cluster_4_2022-01-29,1260.3239700000001
cluster_1_2022-01-30,394.74177
cluster_2_2022-01-30,607.8691600000003
cluster_3_2022-01-30,841.1837199999998
cluster_4_2022-01-30,1148.0659200000007
cluster_1_2022-01-31,444.9496600000003
cluster_2_2022-01-31,669.5619299999998
cluster_3_2022-01-31,924.32663
cluster_4_2022-01-31,1292.8462599999993
cluster_1_2022-02-01,472.40402
cluster_2_2022-02-01,667.5026800000003
cluster_3_2022-02-01,922.4001399999995
cluster_4_2022-02-01,1306.53519
cluster_1_2022-02-02,409.30066000000005
cluster_2_2022-02-02,613.31248
cluster_3_2022-02-02,842.8686100000002
cluster_4_2022-02-02,1258.6487699999996
cluster_1_2022-02-03,445.8317100000003
cluster_2_2022-02-03,643.5582799999997
cluster_3_2022-02-03,845.1895800000004
cluster_4_2022-02-03,1262.08142
cluster_1_2022-02-04,452.55517
cluster_2_2022-02-04,630.0223500000003
cluster_3_2022-02-04,850.6522000000006
cluster_4_2022-02-04,1259.4295799999995
cluster_1_2022-02-05,402.87863000000004
cluster_2_2022-02-05,608.7673599999999
cluster_3_2022-02-05,835.5402699999994
cluster_4_2022-02-05,1224.0808200000001
cluster_1_2022-02-06,371.75051999999994
cluster_2_2022-02-06,592.2158300000004
cluster_3_2022-02-06,809.0622399999994
cluster_4_2022-02-06,1247.8421100000005
cluster_1_2022-02-07,438.8548399999999
cluster_2_2022-02-07,642.4338299999998
cluster_3_2022-02-07,883.57523
cluster_4_2022-02-07,1299.1182
cluster_1_2022-02-08,412.7990399999998
cluster_2_2022-02-08,658.3209799999997
cluster_3_2022-02-08,906.0010799999999
cluster_4_2022-02-08,1276.55416
cluster_1_2022-02-09,414.60324999999983
cluster_2_2022-02-09,650.5169799999996
cluster_3_2022-02-09,832.8248800000005
cluster_4_2022-02-09,1294.7139199999997
cluster_1_2022-02-10,454.6119499999999
cluster_2_2022-02-10,591.9851600000002
cluster_3_2022-02-10,848.3611800000006
cluster_4_2022-02-10,1245.1330400000004
cluster_1_2022-02-11,459.24373999999983
cluster_2_2022-02-11,687.5827599999998
cluster_3_2022-02-11,880.0716399999993
cluster_4_2022-02-11,1318.03682
cluster_1_2022-02-12,420.04992000000027
cluster_2_2022-02-12,597.9940799999999
cluster_3_2022-02-12,803.7432799999999
cluster_4_2022-02-12,1229.2905900000007
cluster_1_2022-02-13,395.8990600000001
cluster_2_2022-02-13,575.65446
cluster_3_2022-02-13,749.2344999999996
cluster_4_2022-02-13,1088.5853900000006
cluster_1_2022-02-14,424.03436999999985
cluster_2_2022-02-14,613.60992
cluster_3_2022-02-14,895.2357399999997
cluster_4_2022-02-14,1222.6829099999995
cluster_1_2022-02-15,441.93300999999997
cluster_2_2022-02-15,651.02935
cluster_3_2022-02-15,870.4842199999998
cluster_4_2022-02-15,1260.6382399999993
cluster_1_2022-02-16,406.31475000000006
cluster_2_2022-02-16,603.9872
cluster_3_2022-02-16,855.0188100000003
cluster_4_2022-02-16,1183.0325599999999
cluster_1_2022-02-17,402.31707000000023
cluster_2_2022-02-17,587.6418599999997
cluster_3_2022-02-17,782.4034799999998
cluster_4_2022-02-17,1092.5807600000005
cluster_1_2022-02-18,422.30012999999997
cluster_2_2022-02-18,604.82248
cluster_3_2022-02-18,787.17571
cluster_4_2022-02-18,1062.846990000001
